اباي	a b a i
اۆتورلىق	a v t o r l e q
اۆتورلىق قۇقىق	a v t o r l e q   q u q e q
اۆتورى	a v t o r e
اۆتوستوپتار	a v t o s t o p t a r
اۆيۋتيۋر	a v i w t i w r
اۆۋچ	a v w ch
اگامىكالىق	a g a m xe k a l e q
اگامالىق	a g a m a l e q
اگات	a g a t
اۆتوتسىستەرنا	a v t o t s xe s t ye r n a
اۆتوقالام	a v t o q a l a m
اۆتوۇسىنىس	a v t o u s e n e s
ٴاۆۋلسىيا	a v w l s xe i a
اۆۋنكۋليارلى	a v w n k w l i a r l e
اگەنتتەر	a g ye n t t ye r
اگەنت	a g ye n t
ٴاگىتاتسىيا	a g xe t a t s xe i a
اگەنتتىكتەر	a g ye n t t xe k t ye r
اگاتتار	a g a t t a r
ٴاگگليۋتىنات	a g g l i w t xe n a t
ٴاگگليۋتىناتىۆتى	a g g l i w t xe n a t xe v t xe
ٴاگگليۋتىناتسىيالىق	a g g l i w t xe n a t s xe i a l e q
ٴاگگليۋتىندى	a g g l i w t xe n d xe
ٴاگونىس	a g o n xe s
اگنوستىكا	a g n o s t xe k a
ٴاگناتسىيا	a g n a t s xe i a
اگنوستىكالىق	a g n o s t xe k a l e q
ٴاگنوستىتسىزم	a g n o s t xe t s xe z m
ٴاگىتروپروپ	a g xe t r o p r o p
اگلومەرات	a g l o m ye r a t
اگلومەراتتار	a g l o m ye r a t t a r
اگلومەراتسىيا	a g l o m ye r a t s xe i a
اگلومەراتسىيالاڭحان	a g l o m ye r a t s xe i a l a n gh a n
اگنات	a g n a t
اگرەگات	a g r ye g a t
اگرارلىق	a g r a r l e q
اگرەگاتتار	a g r ye g a t t a r
اگرەسسىۆتىلىك	a g r ye s s xe v t xe l xe k
ٴاگونىست	a g o n xe s t
اگونىستەر	a g o n xe s t ye r
اگونىستىك	a g o n xe s t xe k
اگورا	a g o r a
ٴاگورافوبىيا	a g o r a f o b xe i a
ٴاگرونومىيا	a g r o n o m xe i a
اگرونوم	a g r o n o m
ادال	a d a l
ٴاگرونومىيالىق	a g r o n o m xe i a l e q
ادال ادامدار	a d a l   a d a m d a r
اگرەسسىيا	a g r ye s s xe i a
اگرەسسىيالار	a g r ye s s xe i a l a r
اگرەسسور	a g r ye s s o r
اگرەسسورلار	a g r ye s s o r l a r
اگروبىزنەس	a g r o b xe z n ye s
ٴادام سىياقتى	a d a m   s xe i a q t e
ادام ساۋداسى	a d a m   s a w d a s e
ادام	a d a m
ادامگەرشىلىك	a d a m g ye r sh xe l xe k
ادامگەرشىلىككە جاتپايتىن	a d a m g ye r sh xe l xe k k ye   j a t p a i t e n
ادامگەرشىلىككە جاتپاۋ	a d a m g ye r sh xe l xe k k ye   j a t p a w
ادال ويىن	a d a l   o i e n
ادالدىق	a d a l d e q
ادالدىقپەن	a d a l d e q p ye n
ٴادامى	a d a m xe
ادامزات	a d a m z a t
ادامدار	a d a m d a r
اداپتەر	a d a p t ye r
ٴاداپتاتسىيا	a d a p t a t s xe i a
اداپتەرلەر	a d a p t ye r l ye r
ادامگەرشىلىككە تاربىەلەۋ	a d a m g ye r sh xe l xe k k ye   t xa r b xe ye l ye w
ادامگەرشىلىكسىز	a d a m g ye r sh xe l xe k s xe z
ادامگەرشىلىكتەن تىس	a d a m g ye r sh xe l xe k t ye n   t e s
ادگەزىيالار	a d g ye z xe i a l a r
ادگەزىيا	a d g ye z xe i a
ٴاددىس	a d d xe s
ادەنوۆىرۋس	a d ye n o v xe r w s
اداستىرادى	a d a s t e r a d e
اداستىرۋ	a d a s t e r w
اداسۋشىلىق	a d a s w sh e l e q
ادۆەكتسىيا	a d v ye k t s xe i a
ادۆوكات	a d v o k a t
ادىاباتىكالىق	a d xe a b a t xe k a l e q
ادزە	a d z ye
ادمىكستەر	a d m xe k s t ye r
ادمىكس	a d m xe k s
ٴادمىرال	a d m xe r a l
ادەنوزىن	a d ye n o z xe n
ادەنوىدتار	a d ye n o xe d t a r
ادەنوىدتى	a d ye n o xe d t e
ادەنوما	a d ye n o m a
ادرەسات	a d r ye s a t
ادرەنەرگىيالىق	a d r ye n ye r g xe i a l e q
ٴادسوربتسىيالاڭحان	a d s o r b t s xe i a l a n gh a n
ادرەستىك	a d r ye s t xe k
ٴادسوربتسىيالار	a d s o r b t s xe i a l a r
ٴادمىرالدار	a d m xe r a l d a r
ٴادمىرالتى	a d m xe r a l t e
ٴادونىس	a d o n xe s
ادرەنالىن	a d r ye n a l xe n
اەوندار	a ye o n d a r
ادىر	a d e r
اديۋتانتتار	a d i w t a n t t a r
اجار	a j a r
اجال	a j a l
اجارلى	a j a r l e
ادست	a d s t
اديۋۆانت	a d i w v a n t
اديۋتانت	a d i w t a n t
اديۋتانت قۇس	a d i w t a n t   q u s
اجىراتۋ	a j e r a t w
اجىراتپاۋ	a j e r a t p a w
اجىراتادى	a j e r a t a d e
اجىراتىلماعان	a j e r a t e l m a gh a n
اجىراتىلدى	a j e r a t e l d e
اجىراتىلمايتىن	a j e r a t e l m a i t e n
اجىراماس	a j e r a m a s
اجىراسۋ	a j e r a s w
اجىراسۋلار	a j e r a s w l a r
اجىراسقان	a j e r a s q a n
از مولشەردە	a z   m xo l sh ye r d ye
از دەگەندە	a z   d ye g ye n d ye
از	a z
از سۋ	a z   s w
ازايدى	a z a i d e
اجىراتىلعان	a j e r a t e l gh a n
اجىراتىمدىلىق	a j e r a t e m d e l e q
اجىراتقىش	a j e r a t q e sh
اجىراتقىشتار	a j e r a t q e sh t a r
ازايىپ كەتتى	a z a i e p   k ye t t xe
ازايىپ بارا جاتىر	a z a i e p   b a r a   j a t e r
ازايتىلعان	a z a i t e l gh a n
ٴازالىيا	a z a l xe i a
ازايعان	a z a i gh a n
ازامات	a z a m a t
ازايتادى	a z a i t a d e
ازايتاتىن	a z a i t a t e n
ازايتۋ	a z a i t w
ازايتىلدى	a z a i t e l d e
ازاپ شەگەدى	a z a p   sh ye g ye d xe
ازاپ	a z a p
ازاپتاۋشى	a z a p t a w sh e
ازاپتاۋ	a z a p t a w
ازاپتاۋشىلار	a z a p t a w sh e l a r
ازاماتتار	a z a m a t t a r
ازاماتتارى	a z a m a t t a r e
ازاماتتىعى جوق	a z a m a t t e gh e   j o q
ازاماتتىق	a z a m a t t e q
ٴازىمۋت	a z xe m w t
ازدىعى	a z d e gh e
ازايۋى	a z a i w e
ازوت	a z o t
ٴازىيالىق	a z xe i a l e q
ازويلىق	a z o i l e q
ازاپتى	a z a p t e
ازاپتىلىق	a z a p t e l e q
ازات ەتۋ	a z a t   ye t w
ازاتتىق	a z a t t e q
ازىقتاندىرۋ	a z e q t a n d e r w
ازىراق	a z e r a q
ازشىلىقتار	a z sh e l e q t a r
ازعانتاي	a z gh a n t a i
ازعىندىق	a z gh e n d e q
ازوتىكالىق	a z o t xe k a l e q
ازوتتى	a z o t t e
ازۋ	a z w
ازشىلىق	a z sh e l e q
اي سايىن	a i   s a i e n
ازعىرىلدى	a z gh e r e l d e
ازعىرۋشىلار	a z gh e r w sh e l a r
ازعىرۋشى	a z gh e r w sh e
اي	a i
اي ساۋلەلەرى	a i   s xa w l ye l ye r xe
اي ساۋلەسى	a i   s xa w l ye s xe
ازعىرادى	a z gh e r a d e
ازعىردى	a z gh e r d e
ازعىرۋ	a z gh e r w
ازعىرۋلار	a z gh e r w l a r
ايداپ سالادى	a i d a p   s a l a d e
ايداپ كەتۋ	a i d a p   k ye t w
ايداھارلار	a i d a h h a r l a r
ايداۋ	a i d a w
ايداھار	a i d a h h a r
اي تاسى	a i   t a s e
ايا	a i a
ايۆا	a i v a
ايدادى	a i d a d e
ايلاكەردە	a i l a k ye r d ye
ايلاكەر	a i l a k ye r
ايلا	a i l a
ايلاكەرلىك	a i l a k ye r l xe k
ايلاق	a i l a q
ايدىڭ شىعۋى	a i d e n g   sh e gh w e
ايە	a i ye
ايەل	a i ye l
ايكول	a i k xo l
ايماقتىق	a i m a q t e q
ايماقتار	a i m a q t a r
اينالا كەل	a i n a l a   k ye l
اينالا	a i n a l a
اينالادى	a i n a l a d e
ايلاقتار	a i l a q t a r
ايلىق	a i l e q
ايماعى	a i m a gh e
ايماق	a i m a q
اينالدىرعىشتار	a i n a l d e r gh e sh t a r
اينالدىرۋ جولاعى	a i n a l d e r w   j o l a gh e
اينالدىرۋ دوڭگەلەگى	a i n a l d e r w   d xo n g g ye l ye g xe
اينالدىرىلعان	a i n a l d e r e l gh a n
اينالدىرۋشى	a i n a l d e r w sh e
اينالدىرعىش	a i n a l d e r gh e sh
اينالار	a i n a l a r
اينالاسىندا	a i n a l a s e n d a
اينالدىرادى	a i n a l d e r a d e
اينالدىردى	a i n a l d e r d e
اينالدىرۋ	a i n a l d e r w
اينالى	a i n a l e
اينالمالى	a i n a l m a l e
اينالىمى	a i n a l e m e
اينالىمدار	a i n a l e m d a r
اينالىمعا جازىڭىز	a i n a l e m gh a   j a z e n g e z
اينالما	a i n a l m a
اينالما جول	a i n a l m a   j o l
اينالما جولدار	a i n a l m a   j o l d a r
ايتادى	a i t a d e
ايسبەرگ	a i s b ye r g
ايرىقشا	a i r e q sh a
ايران	a i r a n
ايسبەرگتەر	a i s b ye r g t ye r
ايت	a i t
اينالىپ وتەدى	a i n a l e p   xo t ye d xe
ٴاينالىپ وتتى	a i n a l e p   xo t t xe
ٴاينالىپ وتۋ	a i n a l e p   xo t w
اينىمالى	a i n e m a l e
اينىمالىلار	a i n e m a l e l a r
ايتىلدى	a i t e l d e
ايتۋعا بولمايتىن	a i t w gh a   b o l m a i t e n
ايتتى	a i t t e
ايتىلۋ	a i t e l w
ايتىلعان	a i t e l gh a n
ايتارلىقتاي	a i t a r l e q t a i
ايتارلىقتاي بايقالادى	a i t a r l e q t a i   b a i q a l a d e
ايتارلىقتاي جوعارىلايدى	a i t a r l e q t a i   j o gh a r e l a i d e
ايتپايتىن	a i t p a i t e n
ايىپپۇل سالىندى	a i e p p u l   s a l e n d e
ايىپپۇل سالۋ	a i e p p u l   s a l w
ايىپپۇل سالادى	a i e p p u l   s a l a d e
ايىپپۇلدار	a i e p p u l d a r
ايىپپۇل تۇرىندە	a i e p p u l   t xu r xe n d ye
ايتىپ بەردى	a i t e p   b ye r d xe
ايتىسكەر	a i t e s k ye r
ايۋاندىق	a i w a n d e q
ايىپپۇل	a i e p p u l
ايىپتاۋ	a i e p t a w
ايىپتالعان	a i e p t a l gh a n
ايىرادى	a i e r a d e
ايىپتاۋلار	a i e p t a w l a r
ايىپتى	a i e p t e
ايىپپۇلدى	a i e p p u l d e
ايىپتادى	a i e p t a d e
ايىپتايدى	a i e p t a i d e
ايىپتالاتىن	a i e p t a l a t e n
ايىپتالدى	a i e p t a l d e
ايىپتالۋشى	a i e p t a l w sh e
ايعاي	a i gh a i
ايىرىلعان	a i e r e l gh a n
ايىرۋ	a i e r w
ايعايلادى	a i gh a i l a d e
ايعايلاپ	a i gh a i l a p
ايىرباستالاتىن	a i e r b a s t a l a t e n
ايىرباستاۋ	a i e r b a s t a w
ايىرماشىلىقتا	a i e r m a sh e l e q t a
ايىرماشىلىقتار	a i e r m a sh e l e q t a r
ايقايلايدى	a i q a i l a i d e
ايقايلادى	a i q a i l a d e
ايقاي	a i q a i
ايقايلاۋ	a i q a i l a w
ايقايلار	a i q a i l a r
ايعايلار	a i gh a i l a r
ايعايلاۋ	a i gh a i l a w
ايعايلاۋشى	a i gh a i l a w sh e
ايعاقتار	a i gh a q t a r
ايعىر	a i gh e r
ايقىشقا شەگەلەۋ	a i q e sh q a   sh ye g ye l ye w
ايقىنىراق	a i q e n e r a q
ايقىندىق	a i q e n d e q
اكادەمىك	a k a d ye m xe k
اكادەمىزم	a k a d ye m xe z m
اكادەمىكتەر	a k a d ye m xe k t ye r
ايقاس	a i q a s
ايقاستار	a i q a s t a r
ايقىن	a i q e n
ايقىن ەمەس	a i q e n   ye m ye s
ايقىنداۋشى	a i q e n d a w sh e
اكۆا	a k v a
اكاتسىيا	a k a t s xe i a
اكانتۋس	a k a n t w s
اكۆامارىن	a k v a m a r xe n
اكۆاۆىت	a k v a v xe t
اكۆالاڭ	a k v a l a n g
اكادەمىيا	a k a d ye m xe i a
اكادەمىيالارى	a k a d ye m xe i a l a r e
اكادەمىيالىق	a k a d ye m xe i a l e q
اكادەمىياسى	a k a d ye m xe i a s e
اكانتۋزدار	a k a n t w z d a r
اكۆاتورىيالار	a k v a t o r xe i a l a r
اكۆاتورىيا	a k v a t o r xe i a
اكۆارىۋم	a k v a r xe w m
اكۆەدۋكتار	a k v ye d w k t a r
اكۆىلىن	a k v xe l xe n
اكۆامادەنىەت	a k v a m xa d ye n xe ye t
اكۆاپلان	a k v a p l a n
اكۆارەل	a k v a r ye l
اكۆارەلدەر	a k v a r ye l d ye r
اككوردى	a k k o r d e
اككوردتار	a k k o r d t a r
اككرەدىتسىيالار	a k k r ye d xe t s xe i a l a r
اككۋمۋلياتور	a k k w m w l i a t o r
اككۋمۋلياتورلار	a k k w m w l i a t o r l a r
اكىمبو	a k xe m b o
اككلىماتىزاتسىيا	a k k l xe m a t xe z a t s xe i a
اككورد	a k k o r d
اككوردەون	a k k o r d ye o n
اككوردەوندار	a k k o r d ye o n d a r
اكرىل	a k r xe l
اكرەسسور	a k r ye s s o r
اكر	a k r
اكروبات	a k r o b a t
اكروباتىكالىق	a k r o b a t xe k a l e q
اكمە	a k m ye
اكولىت	a k o l xe t
اكولىتتەر	a k o l xe t t ye r
اكونىت	a k o n xe t
اكسەلەرومەترلەر	a k s ye l ye r o m ye t r l ye r
اكسەلەرومەتر	a k s ye l ye r o m ye t r
اكروفوبىيا	a k r o f o b xe i a
اكسىللا	a k s xe l l a
اكسەسسۋار	a k s ye s s w a r
اكسىوما	a k s xe o m a
اكروباتتار	a k r o b a t t a r
اكروماتىكالىق	a k r o m a t xe k a l e q
اكروپولىيا	a k r o p o l xe i a
اكروستىكالىق	a k r o s t xe k a l e q
اكتەرلىك	a k t ye r l xe k
اكتەرلەر	a k t ye r l ye r
اكتەر	a k t ye r
اكتىۆ	a k t xe v
اكتىۆتەر	a k t xe v t ye r
اكتىندىك	a k t xe n d xe k
اكسىومالار	a k s xe o m a l a r
اكسىومالىق	a k s xe o m a l e q
اكسون	a k s o n
اكت	a k t
اكتۋارىيلەر	a k t w a r xe i l ye r
اكتۋارىي	a k t w a r xe i
اكۋستىك	a k w s t xe k
اكۋلالار	a k w l a l a r
اكۋپۋنكتۋرا	a k w p w n k t w r a
اكتىنىۋم	a k t xe n xe w m
اكترىسا	a k t r xe s a
اكترىسالار	a k t r xe s a l a r
اكتۋالىزاتسىيالاۋ	a k t w a l xe z a t s xe i a l a w
اكتسىز	a k t s xe z
اكتسەپتور	a k t s ye p t o r
اكۋشەرلىك	a k w sh ye r l xe k
اكتسىزدەر	a k t s xe z d ye r
اكتسىونەر	a k t s xe o n ye r
اكتسىونەرلەر	a k t s xe o n ye r l ye r
اكۋستىكا	a k w s t xe k a
اكۋستىكالىق	a k w s t xe k a l e q
اكۋشەر	a k w sh ye r
اكۋشەرلەر	a k w sh ye r l ye r
الاپەس	a l a p ye s
الامىن	a l a m e n
الاك	a l a k
الاپتار	a l a p t a r
الار	a l a r
اكتسىيالار	a k t s xe i a l a r
ال	a l
الابۇعا	a l a b u gh a
الايدا	a l a i d a
الاۋىزدىقتار	a l a w e z d e q t a r
الاۋىزدىق	a l a w e z d e q
الاقان	a l a q a n
الاياقتىق	a l a i a q t e q
الاقانشى	a l a q a n sh e
الارۋم	a l a r w m
الارى	a l a r e
الاۋ	a l a w
الاۋگەر	a l a w g ye r
الاۋلار	a l a w l a r
الاڭداۋشىلىق	a l a n g d a w sh e l e q
الاڭداۋلى	a l a n g d a w l e
الاڭداتۋ	a l a n g d a t w
الگەبرالار	a l g ye b r a l a r
الگەبرا	a l g ye b r a
الگەبرالىق	a l g ye b r a l e q
الاڭداتادى	a l a n g d a t a d e
الاڭداتاتىن	a l a n g d a t a t e n
الاڭداتتى	a l a n g d a t t e
الداڭحان	a l d a n gh a n
الدانىپ قالدى	a l d a n e p   q a l d e
الداۋشىلار	a l d a w sh e l a r
الداپ ويناۋ	a l d a p   o i n a w
الداۋ	a l d a w
ٴالگورىتم	a l g o r xe t m
الگورىتمدەر	a l g o r xe t m d ye r
الدا	a l d a
الدايدى	a l d a i d e
الدامشى	a l d a m sh e
الدى	a l d e
ٴالدىن الا بىلۋ	a l d e n   a l a   b xe l w
الدىن الا جازىلعان	a l d e n   a l a   j a z e l gh a n
الداعى	a l d a gh e
الدەر	a l d ye r
الدەرمان	a l d ye r m a n
الدەرمەن	a l d ye r m ye n
الدىن الدى	a l d e n   a l d e
الدىن الا قاراۋ	a l d e n   a l a   q a r a w
الدىن الا ورناتىلعان	a l d e n   a l a   o r n a t e l gh a n
الدىن الۋشى	a l d e n   a l w sh e
الدىن الۋ	a l d e n   a l w
الدىنان	a l d e n a n
ٴالدىن الا جىناقتالعان	a l d e n   a l a   j xe n a q t a l gh a n
الدىن الا جوسپارلاڭىز	a l d e n   a l a   j o s p a r l a n g e z
الدىن الا ويلاستىرۋ	a l d e n   a l a   o i l a s t e r w
الدىن الا ورناتۋلار	a l d e n   a l a   o r n a t w l a r
ٴالدىڭعى بولىم	a l d e n g gh e   b xo l xe m
الدىڭعى بولىك	a l d e n g gh e   b xo l xe k
الدىڭعى اياق	a l d e n g gh e   a i a q
الدىڭعى قاتارداعى	a l d e n g gh e   q a t a r d a gh e
الدىڭعى ەسىك	a l d e n g gh e   ye s xe k
الدىڭعى سىزىق	a l d e n g gh e   s e z e q
الدىنداعى	a l d e n d a gh e
الدىعا	a l d e gh a
الدىڭعى	a l d e n g gh e
الدىڭعى اياعى	a l d e n g gh e   a i a gh e
الەكساندرىت	a l ye k s a n d r xe t
الەكساندرىنا	a l ye k s a n d r xe n a
الجاپقىش	a l j a p q e sh
ٴالىبىس	a l xe b xe s
الدىڭعى قاتارداعى ادامدار	a l d e n g gh e   q a t a r d a gh e   a d a m d a r
الە	a l ye
الەباستر	a l ye b a s t r
الەيروتىۆتى	a l ye i r o t xe v t xe
الىمەنتاتسىيا	a l xe m ye n t a t s xe i a
الكالوز	a l k a l o z
الىفاتىكالىق	a l xe f a t xe k a l e q
الكالوىد	a l k a l o xe d
الىكۆوت	a l xe k v o t
الىمەنت	a l xe m ye n t
الىمەنتارلى	a l xe m ye n t a r l e
الىمەنتارلى كانال	a l xe m ye n t a r l e   k a n a l
الكوگولدى سۋسىن	a l k o g o l d xe   s w s e n
الكوگولدى	a l k o g o l d xe
الكوگولگە تاۋەلدىلىك	a l k o g o l g ye   t xa w ye l d xe l xe k
اللاھ	a l l a h h
اللاي	a l l a i
اللەگورىيالار	a l l ye g o r xe i a l a r
الكالوىدتار	a l k a l o xe d t a r
الكىدتى	a l k xe d t xe
الكىل	a l k xe l
الكوگول	a l k o g o l
اللەيالار	a l l ye i a l a r
اللەرگىيالىق	a l l ye r g xe i a l e q
اللەرگىيا	a l l ye r g xe i a
اللەرگەن	a l l ye r g ye n
اللەرگولوگ	a l l ye r g o l o g
اللەيا	a l l ye i a
اللەگورىيالىق	a l l ye g o r xe i a l e q
اللەگرو	a l l ye g r o
اللەل	a l l ye l
اللەلدەر	a l l ye l d ye r
اللوپات	a l l o p a t
اللوگراف	a l l o g r a f
اللىتەرىفىكاتسىيا	a l l xe t ye r xe f xe k a t s xe i a
اللوتروپ	a l l o t r o p
اللوفوندار	a l l o f o n d a r
ٴالليۋۆىالدى	a l l i w v xe a l d e
ٴاللىگاتور	a l l xe g a t o r
ٴاللىگاتورلار	a l l xe g a t o r l a r
اللىتەراتىۆتى	a l l xe t ye r a t xe v t xe
اللىتەراتسىيا	a l l xe t ye r a t s xe i a
المادى	a l m a d e
الماستىرۋلار	a l m a s t e r w l a r
الماستىرۋ	a l m a s t e r w
الماستىرۋشى	a l m a s t e r w sh e
ٴالليۋۆىي	a l l i w v xe i
الما	a l m a
الماگەست	a l m a g ye s t
المشاۋىق	a l m sh a w e q
الماسۋلار	a l m a s w l a r
الماسۋ	a l m a s w
الماستىرعىشتار	a l m a s t e r gh e sh t a r
المونەر	a l m o n ye r
المۇرت	a l m u r t
الماستىرىلاتىن	a l m a s t e r e l a t e n
الماستىرىلدى	a l m a s t e r e l d e
الماستىرىلمايتىن	a l m a s t e r e l m a i t e n
الماستىرىڭىز	a l m a s t e r e n g e z
الماستىرعىش	a l m a s t e r gh e sh
التىمەتر	a l t xe m ye t r
التار	a l t a r
التى	a l t e
التىمەترلەر	a l t xe m ye t r l ye r
التىبۇرىش	a l t e b u r e sh
المۇرت اعاشى	a l m u r t   a gh a sh e
الوپەتسىيا	a l o p ye t s xe i a
الوە	a l o ye
الپىس	a l p e s
التىن بالىق	a l t e n   b a l e q
التىن	a l t e n
التىلار	a l t e l a r
التىن ورتا	a l t e n   o r t a
التىن مايى	a l t e n   m a i e
التىن شاڭ	a l t e n   sh a n g
التىبۇرىشتار	a l t e b u r e sh t a r
التىبۇرىشتى	a l t e b u r e sh t e
التىجىلدىق	a l t e j e l d e q
ٴالۋان تۇرلى	a l w a n   t xu r l xe
الۋان	a l w a n
الفاۆىتتەر	a l f a v xe t t ye r
ٴالفاۆىت	a l f a v xe t
الفاۆىتتەلگەن	a l f a v xe t t ye l g ye n
التىن قورلارى	a l t e n   q o r l a r e
التىنشى	a l t e n sh e
الۋ	a l w
الۋ كەرەك	a l w   k ye r ye k
الشاقتىقتار	a l sh a q t e q t a r
الشاق	a l sh a q
الىمدار	a l e m d a r
الىم	a l e m
الىندى	a l e n d e
الفاۆىتتىك	a l f a v xe t t xe k
ٴالحىمىيا	a l h xe m xe i a
ٴالحىمىيالىق	a l h xe m xe i a l e q
الحورى	a l h o r e
الىپ كەتتى	a l e p   k ye t t xe
الىپ كەلۋ	a l e p   k ye l w
الىپ كەلدى	a l e p   k ye l d xe
الىپساتارلار	a l e p s a t a r l a r
الىپ تاستايدى	a l e p   t a s t a i d e
الىپ تاستاۋ	a l e p   t a s t a w
الىنىپ تاستالدى	a l e n e p   t a s t a l d e
